Title,Content,"Accession Number","Permanent Location","Display Location","Alternative Name",Unidentified,"Primary Materials",Markings,"Dimensions (cm)",Function,Condition,"Associated Instruments",Manufacturer,"Date of Manufacture",Provenance,"Previous Accession Number(s)","Additional Information and References",Owner,"Current Status","Examined By","Used at UofT","Donated to UTSIC","Date Last Examined","Date Last Updated","Historical Notes","NOT publically visible (if clicked, also set visibility to","Notes (private)",Themes,Permalink,"Publication Status"
post_title,post_content,accession-number,permanent-location,display-location,alternative-name,unidentified,primary-materials,markings,dimensions-cm,function,condition,associated-instruments,manufacturer,date-of-manufacture,provenance,previous-accession-numbers,additional-information-and-references,owner,current-status,examined-by,used-at-uoft,donated-to-utsic,date-last-examined,date-last-updated,historical-notes,not-publically-visible-if-clicked-also-set-visibility-to,notes-private,themes,permalink,post_status
"Informational Booklet on Stereoscopic Vision","<!-- wp:paragraph -->
<p>This object is a hand-drawn/written informational booklet entitled ""3-D (Stereoscopic Vision)"". In several pages, it explains 3-D vision and stereoscope use (with aerial photographs) from multiple angles including vision, geometry and the acquisition of suitable aerial photographs. It contains a number of diagrams and spaces for students to write responses. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>The document pages are stapled together in the top left corner.</p>
<!-- /wp:paragraph -->

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->

<!-- wp:wp-museum/child-objects-block /-->",2017.for.7,,,,0,Paper,"Page headings: 
""3-D (Stereoscopic) Vision""
""Means of viewing stereo""
""Photograph as Central Projection""
""Comparison btw photo &amp;amp; map""
""Tilted photo""
""HEIGHTS from AIR PHOTOS""","28 x 22 (flat)","To teach undergraduate students about the use of stereoscopic viewers.","Good. This appears to be a photocopy of the original document that has been little used. The paper is discoloured to a brown colour, with slightly more discolouration around the edges.",,,,"Department of Forestry. This likely represents documents used by undergraduate students learning to use stereoscopes.",,,"Department of Forestry",,"Victoria Fisher",1,0,2017-03-30,2017-03-30,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=10271,draft
"Navigational Theodolite","<p>This is a large theodolite inside a wooden box that is painted khaki green. The box is simply made, with a hinged door on one side that can be held shut with two latches. On top of the box there is a metal handle. The box's corners are reinforced by metal covers. Inside the box, fixed inside the door in a leather pocket with an open bottom, there is a conical plumb bob with a string attached to the top. This is wrapped in brown paper. In another leather pocket on one side of the interior of the box there is a small screwdriver with a wooden handle. </p>
<p>The theodolite stands on a rectangular metal base, supported from a stand in the centre. In one corner of the base, there is a cylindrical piece with a slanted top; inside this, there is a brown circular section. In another corner, there is a wooden cylinder containing three small lightbulbs, two small rods tools stored vertically, and an additional tool that can be accessed by unscrewing the lid of a cylindrical case. The tool is fixed into this lid and has a delicate broad base. </p>
<p>The base of the instrument is circular and made of brass. This supports an adjustable stand with four screw posts supporting the larger circular disk that supports the instruments other components. The disk and components are painted black with a textured surface. The disk base has two roughly triangular supports standing on either side of it, which supports a telescope tube between them on a broad rod, enabling it to be tilted in one dimension. A spoked wheel with a scale around the rim, graduated in degrees, permits the angle of the tilt to be measured. The telescope objective end is covered with a round cover. </p>
<p>At the intersection of the telescope and the support rod, there is a box shape. This connects, through the centre of the spoked wheel to an eyepiece tube with a lens and rubber eyecup at the end. Emerging from the side of this tube there is a second smaller lens. There is a brass knob on the other side of the main tube. A wire runs from the end of the tube around the instrument to a battery case consisting of a pair of vertical cylinders on the other side of the instrument. Beneath the eyepiece tube, there is knob with a central indicator. This has ""INCREASE VOLUME"" and a directional arrow printed on it. </p>
<p>There are various other knobs, screw and adjustents on the instrument, allowing it to be finely adjusted. In the centre of the disk stand there are a pair of bubble levels set at right angles to one another.</p>

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->

<!-- wp:wp-museum/child-objects-block /-->",2017.ast.41,"MPL-A 3.A.4",,,0,"Metal: Iron Alloy, Metal: Copper Alloy, Wood, Textile (wire insulation)","On a metal label affixed to the disk stand: ""SIGNAL CORPS U.S. ARMY
THEODOLITE ML-47-R
SERIAL NO. 154 ORDER NO. 325-NY-41
MADE BY
DAVID WHITE COMPANY
MILWAUKEE WISCONSIN""

In raised lettering on the metal base: ""D.W. CO. MILWAUKEE""

Engraved on the brass circle below the adjustable stand: ""31/2-8-THDS.""

On a paper label glued to a metal flag affixed to the side of the instrument: ""IMPORTANT
TURN OFF SWITCH
TURN RHEOSTAT MAX.
COUNTERCLOCKWISE WHEN FINISHED""

Engraved on the top of the battery case: ""USE 2 BATTERIES
BA-30""

Stamped on the base: ""S69""","Instrument: Length = 28, Width = 19, Height = 27; Box:","A theodolite is used to measure angles, both horizontal and vertical, in surveying, meteorology, and navigation. The user looks through the device, which is mounted on a tripod, much as one does with a telescope. The purpose of a theodolite is to record accurate angles in order to map precise locations of sites or objects, and create topographical maps. A theodolite can be used to measure the location of a celestial object at a given time.","Very Good: The case of the instrument is in a good condition, and intact, although the paint is damaged and nicked across the surface. The paper wrapping around the plumb bob is torn and yellowed; however, the leather pockets inside the care are in excellent condition. 

The metal base of the instrument is discoloured and nicked in places, but in good condition. The surfaaces of the instrument are in very good condition. However, in places, the paint surface has chapped off, particularly around the rim of the disk base, and around the circumference of the eyepices tube where it passes through the centre of the spoked wheel. The silver-coloured scale inside the spoked wheel is badly oxidized and blackened. 

The lenses and other components appear to be in very good condition. The textile insulation on the visible wires is discoloured where it connects to metal components, but not frayed.",,"David White Co., Milwaukee, Wisconsin",1939-1945,"This artifact may have been used for teaching at the Department for the Astronomy &amp;amp; Astrophysics or at the David Dunlap Observatory. If the former, it was probably moved at some point to the Observatory for storage. The sphere was kept at the David Dunlap Observatory until 2009. Upon the sale of the Observatory, it was moved to the University of Toronto's Department of Astronomy &amp;amp; Astrophysics at the St George Campus. In 2017 it was moved to a new storage location in McLennan Physical Laboratories.",,,"University of Toronto Department of Astronomy &amp;amp; Astrophysics","In storage","Victoria Fisher",1,0,2020-01-09,2020-01-09,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=10262,pending
,"<!-- wp:paragraph {""placeholder"":""A general description of the object...""} -->
<p></p>
<!-- /wp:paragraph -->

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->

<!-- wp:wp-museum/child-objects-block /-->",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=15995,pending
tttt,"<!-- wp:paragraph {""placeholder"":""A general description of the object...""} -->
<p>tttt</p>
<!-- /wp:paragraph -->

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->

<!-- wp:wp-museum/child-objects-block /-->",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=15994,draft
,"<!-- wp:paragraph {""placeholder"":""A general description of the object...""} -->
<p></p>
<!-- /wp:paragraph -->

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->

<!-- wp:wp-museum/child-objects-block /-->",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=15992,draft
"Glass Vessel","<!-- wp:paragraph {""placeholder"":""A general description of the object...""} -->
<p>Reuben Chappell glass vessel.</p>
<!-- /wp:paragraph -->

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->

<!-- wp:wp-museum/child-objects-block /-->",2020.ph.856,MPL,,,,Glass,,,,,,"Reuben Chappell","c. 1925","Department of Physics",,,,,,,,,,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=15234,pending
,"<!-- wp:paragraph {""placeholder"":""A general description of the object...""} -->
<p></p>
<!-- /wp:paragraph -->

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->

<!-- wp:wp-museum/child-objects-block /-->",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=15987,draft
"Physics Test Instrument","<!-- wp:paragraph {""placeholder"":""A general description of the object...""} -->
<p>....</p>
<!-- /wp:paragraph -->

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->

<!-- wp:wp-museum/child-objects-block /-->",2020.ph.857,sdsds,,,,,,,,,,,,,,,,,,,,,,,,,a:0:{},https://utsic.mikethicke.com/wpm_instrument/physics-test-instrument/,publish
"Otis King’s Calculator ‘L’ model","<!-- wp:paragraph -->
<p>The Otis King’s patent calculator is a cylindrical pocket slide rule with helical scales from the 1920s. The calculator can be used for multiplication, division, proportion and percentages. This ‘L’ model also has a linearly divided scale section on the top providing logarithms and allows you to work out powers and roots. The scale on this calculator is equivalent to a 66-inch slide rule calculator and thus the compact size of the Otis King’s calculator makes it more convenient to use.</p>
<!-- /wp:paragraph -->

<!-- wp:wp-museum/object-meta-block /-->

<!-- wp:wp-museum/object-image-attachments-block /-->

<!-- wp:wp-museum/child-objects-block /-->",2015.ch.13,"Lash Miller Chemistry Building","Currently on display outside the AD Allen Chemistry library",,0,"Leather cursor, metal handle","engraved ‘T7003’","153 mm closed, 262 mm extended, x 31 mm diameter","The calculator can be used for multiplication, division, proportion and percentages. This ‘L’ model also has a linearly divided scale section on the top providing logarithms and allows you to work out powers and roots.","Fair. Leather cursor used up.",,"Otis King’s","~ 1920s",,,,,,,1,0,2014-06-07,2015-07-08,,,,,https://utsic.mikethicke.com/?post_type=wpm_instrument&p=7711,draft
